StudentID,StudentEmail
45017998,maryh21@tech.edu
99401151,sandram22@tech.edu
94540261,annem51@tech.edu
81457755,gloriaw83@tech.edu
16435346,jeanr17@tech.edu
58481329,mildrede85@tech.edu
30036610,rosew53@tech.edu
55889169,angelat15@tech.edu
31481407,barbarak92@tech.edu
97840165,janej14@tech.edu
74817509,juliar25@tech.edu
21337358,lisac67@tech.edu
37186204,katherinep3@tech.edu
53050804,joanh20@tech.edu
37342982,kathrynb79@tech.edu
92073520,rachelw86@tech.edu
12322347,louisef3@tech.edu
57704736,carolm56@tech.edu
20389890,cynthiaa81@tech.edu
68590587,irenem14@tech.edu
57291392,phyllisw81@tech.edu
35959857,bettyh77@tech.edu
47300868,amandah41@tech.edu
97638435,lilliang31@tech.edu
64267214,jennifers95@tech.edu
18599100,amyl71@tech.edu
11696508,carolynr10@tech.edu
90625775,evelynp67@tech.edu
38049014,sarahs45@tech.edu
39606695,beverlyw27@tech.edu
52823041,donnad48@tech.edu
61431227,janetc12@tech.edu
38534298,tinat57@tech.edu
38588200,taylorw86@tech.edu
